;id;track_name;size_bytes;currency;price;rating_count_tot;rating_count_ver;user_rating;user_rating_ver;ver;cont_rating;prime_genre;sup_devices.num;ipadSc_urls.num;lang.num;vpp_lic;KPI;Moyenne rating;Moyenne dl;Moyenne prix;;
2247;639930688;Dumb Ways to Die;842893312;USD;0;151559;866;4,5;4.5;2.2.0;12+;Games;40;5;1;1;0,316207389;;;;3279,032039;6,022126153
2250;640111933;Pixel Gun 3D;1744486400;USD;0;301182;3493;4,5;4.5;12.1.1;12+;Games;38;5;1;1;0,628346742;;;;4622,411333;8,489317531
2251;640199958;WWDC;34959360;USD;0;762;7;3,5;4.5;6.0.0;4+;Reference;37;5;1;1;0,001614697;;;;181,0414049;0,332492689
2253;640360962;Nextdoor;82531328;USD;0;14402;104;4,5;4.5;3.11;4+;Social Networking;37;0;4;1;0,030074259;;;;1010,834002;1,856453309
2254;640364616;Terraria;126036992;USD;4,99;98036;11022;4,5;4.5;1.2.12785;9+;Games;37;5;5;1;0,204580421;;;;7058,836468;12,96394887
2256;640484311;AZZL;130421760;USD;2,99;261;84;5;4.5;1.2;4+;Games;37;5;10;1;0,000594497;;;;325,3679727;0,597556521
2257;640564761;Stop Motion Studio Pro;52312064;USD;4,99;537;2;4,5;5;8.3.1;4+;Photo & Video;37;5;10;1;0,001180711;;;;522,9127751;0,960358624
2258;640702076;Sago Mini Forest Flyer;168208384;USD;2,99;1617;50;4,5;4.5;2.1;4+;Education;38;5;1;1;0,00342126;;;;725,23326;1,331931536
2259;640941236;Doc McStuffins:  Time For Your Check Up!;321802240;USD;3,99;1286;289;3,5;3;1.1;4+;Entertainment;40;5;1;1;0,002732823;;;;569,193872;1,045356453
2260;640999250;3D stereogram : Human;16596992;USD;0,99;9;9;4;4;1.3;17+;Entertainment;43;5;2;1;5,20917E-05;;;;34,52086723;0,063399508
2261;641519483;Factory Balls;28557312;USD;0,99;144;62;4,5;5;1.5;4+;Games;40;5;16;1;0,000335811;;;;148,0834606;0,271963576
2262;641900855;Tayasui Sketches;198511616;USD;0;11505;67;4,5;4.5;16.2;4+;Productivity;37;5;15;1;0,024030618;;;;903,4737663;1,659280218
2263;642064350;Spinrilla - Mixtapes For Free;40071168;USD;0;15053;1032;4,5;4;3.2.5;12+;Music;37;0;3;1;0,031432358;;;;1033,425843;1,897944491
2264;642091851;YY HD-和美女帅哥主播视频聊天的直播软件;112109568;USD;0;94;13;3;4.5;5.5.5;17+;Entertainment;24;5;2;1;0,000219048;;;;55,13619501;0,101260713
2265;642821482;Angry Birds Go!;499580928;USD;0;75793;953;4;3.5;2.6.3;4+;Games;37;5;10;1;0,158144375;;;;2058,400692;3,780368258
2266;642831690;Jigsaw Puzzle Collection HD;86220800;USD;0;40227;2371;4,5;4.5;1.2.4;12+;Games;24;5;2;1;0,083949658;;;;1689,342012;3,102571304
2267;643165438;Stellarium Mobile Sky Map;54294528;USD;2,99;64;10;3,5;3.5;1.23;4+;Education;43;5;0;1;0,000177262;;;;113,1116697;0,207735922
2268;643496868;Hangouts;94750720;USD;0;36404;0;4;0;16.0.0;4+;Social Networking;37;5;34;1;0,075972135;;;;1426,569791;2,61997539
2270;643791032;Quizduell;118291456;USD;0;10;0;2,5;0;6.5.1;4+;Games;37;5;22;1;4,17234E-05;;;;15,87747355;0,02915987
2271;643857704;Walk for a Dog;63271936;USD;0;412;22;3;3.5;3.3.0;4+;Health & Fitness;23;0;1;1;0,000882451;;;;114,9608629;0,211132069
2272;644077827;Galileo Organ;41422848;USD;9,99;135;36;5;5;3.0;4+;Music;24;5;1;1;0,000375448;;;;409,26749;0,751642688
2273;644106186;LiveTunes - Live Concert Music Player;128413696;USD;0,99;220;20;4,5;4.5;3.1;4+;Music;37;5;5;1;0,00049436;;;;182,8178894;0,335755302
2274;644245630;Pronoun Fill-In Super Fun Deck;133537792;USD;5,99;5;0;4;0;3.8;4+;Education;37;5;1;1;7,50396E-05;;;;53,36427054;0,098006474
2275;645384141;Cachly - Simple and powerful Geocaching for iPhone;25072640;USD;4,99;263;101;4,5;4.5;2.0.3;4+;Navigation;37;0;9;1;0,0006091;;;;366,3026644;0,672735377
2276;645422116;Alizay, pirate girl;186402816;USD;2,99;14;1;4,5;4;4.0.2;4+;Book;40;5;2;1;7,71258E-05;;;;69,82872045;0,128244359
2277;645675002;Formula Cartoon All-Stars – Crazy Cart Racing with Your Favorite Cartoon Network Characters;927440896;USD;2,99;168;162;4;4;3.5;4+;Games;43;4;1;1;0,00039631;;;;208,0611288;0,382115926
2278;645682444;Verizon Cloud;104749056;USD;0;6482;409;4,5;4.5;17.2.4;4+;Productivity;37;5;1;1;0,013551775;;;;678,1743701;1,245505247
2279;645704840;Solitaire Deluxe® Social - Classic, Spider, more;112141312;USD;0;6970;93;4,5;4.5;3.5.1;4+;Games;37;5;1;1;0,014569827;;;;703,2356895;1,291531765
2280;645705454;Evil Apples: A Filthy Adult Card & Party Game;126050304;USD;0;53415;2938;4,5;4.5;1.9.23;17+;Games;37;5;1;1;0,111462098;;;;1946,655242;3,575141475
2281;645746786;Word Swag - Cool fonts & typography generator;112843776;USD;4,99;9731;1840;5;4.5;2.1.5;4+;Photo & Video;38;5;1;1;0,020363065;;;;2479,561391;4,553853492
2283;645794505;EasyCost - Expense Tracker and Money organizer;9694208;USD;0,99;165;21;4,5;4.5;1.6.6;4+;Finance;38;0;4;1;0,000379621;;;;158,4442919;0,290991824
2284;645797558;Hero Emblems;144809984;USD;3,99;597;289;4,5;4.5;1.06;12+;Games;40;5;7;1;0,001299623;;;;498,6080133;0,915721567
2285;645859810;Angry Birds Star Wars II;226834432;USD;0;33724;64;4,5;4.5;1.9.22;4+;Games;37;5;1;1;0,07038328;;;;1546,782825;2,840753365
2287;645949180;Jelly Splash;138738688;USD;0;21601;14;4;3.5;3.13.0;4+;Games;38;5;19;1;0,045090527;;;;1098,903322;2,018197552
2288;646100661;AOL: News, Email, Weather & Video;85273600;USD;0;5233;0;4;0;4.6.6;12+;News;37;5;3;1;0,01094406;;;;540,915423;0,993421496
2289;646436754;Machines at War 3 RTS;191706112;USD;6,99;608;96;4,5;5;2.1;17+;Games;40;5;10;1;0,001341346;;;;651,872615;1,197200599
2290;646489967;Castle of Illusion Starring Mickey Mouse;555233280;USD;4,99;852;852;3,5;3.5;1.0;9+;Games;35;5;6;1;0,001833683;;;;512,359638;0,940977196
2291;646504584;Ruler and Compass Geometry;24403968;USD;0,99;2;2;3,5;3.5;1.1;4+;Education;26;4;16;1;3,54023E-05;;;;16,5746918;0,030440351
2292;646619812;OnCamera;94908416;USD;0;111;12;2,5;3.5;1.6.3;4+;Lifestyle;37;1;1;1;0,000252427;;;;50,66336909;0,093046117
2294;647554947;Clone Magic;18268160;USD;1,99;306;79;4;4;3.0.1;4+;Photo & Video;40;5;1;1;0,000677943;;;;239,2769404;0,439445514
2295;647594931;Monogram - Wallpaper & Backgrounds Maker HD DIY with Glitter Themes;85420032;USD;0;7427;693;4,5;3.5;4.5.1;4+;Lifestyle;37;4;8;1;0,015523208;;;;725,9209151;1,333194453
2296;647804489;Solitaire ∘;103740416;USD;0;741;161;4,5;4.5;3.5.2;4+;Games;37;5;15;1;0,00157506;;;;229,4326992;0,421366013
2297;648019675;D&D Lords of Waterdeep;563081216;USD;6,99;1772;545;4,5;4.5;1.2.4;9+;Games;43;5;1;1;0,003769651;;;;1112,265479;2,042737902
2298;648228242;百度贴吧HD;106000384;USD;0;542;366;3,5;4;6.8.0;17+;Social Networking;24;3;1;1;0,001155739;;;;152,7269072;0,280491526
2299;648668184;Happy Wheels;38466560;USD;0;60601;5645;4,5;4.5;1.0.6;17+;Games;38;5;1;1;0,126453332;;;;2073,465628;3,808035858
2301;648862644;Videon - Video Camera and Editor with Zoom, Pause, Effects, Filters;11747328;USD;4,99;818;180;4,5;4;2.11;4+;Photo & Video;38;5;11;1;0,001766925;;;;645,1787653;1,184906969
2302;648998642;Pan Book 1: The Fearless Beribolt;915262464;USD;5,99;438;3;4,5;4.5;5.4.1;4+;Book;37;5;1;1;0,000980438;;;;514,2189398;0,944391909
2303;649181106;Dr. Panda Handyman;138967040;USD;2,99;218;12;4;4;1.3;4+;Education;40;5;18;1;0,000500619;;;;236,8479638;0,434984563
2304;649202100;Authentic Weather;23582720;USD;1,99;330;30;3;3;4.1;12+;Weather;37;2;1;1;0,000723839;;;;187,9784826;0,345233021
2305;649246860;NOAA World Radar – Rain, Hurricanes & Weather;59233280;USD;2,99;581;8;4;5;3.2.3;4+;Weather;37;5;14;1;0,001257899;;;;386,108258;0,70910946
2308;649820448;Stock Market Pro: Stock Trading, Charts & Alerts;77472768;USD;5,99;1034;8;3,5;2.5;2023;4+;Finance;37;1;1;1;0,002219625;;;;614,3958362;1,128372394
2309;649822618;Craft your games! - Createrria 2;449130496;USD;0;4475;177;4;4;2.0.6;4+;Games;40;5;1;1;0,009362741;;;;500,21596;0,918674651
2310;649983655;Sniper Shooter Pro by Fun Games For Free;110870528;USD;0,99;945;95;5;5;4.9;17+;Games;40;5;1;1;0,002008921;;;;421,7002157;0,774476085
2311;650276551;Seven - 7 Minute Workout Training Challenge;142803968;USD;0;6808;9;4,5;4;5.1.1;4+;Health & Fitness;37;5;8;1;0,014231867;;;;695,0163622;1,27643651
2312;650645305;Quiver - 3D Coloring App;183631872;USD;0;325;16;3,5;4;3.15;4+;Entertainment;38;5;1;1;0,00070304;;;;118,3380592;0,217334479
2313;650684932;OBD Fusion - OBD2 vehicle scan tool & diagnostics;78813184;USD;9,99;521;35;4;4.5;4.0.1;4+;Travel;37;5;1;1;0,001176539;;;;638,4053057;1,172467131
2314;650715760;LetterGlow - Graphic Design & Photo Editing;125425664;USD;2,99;181;32;4;4.5;2.2.6;4+;Photo & Video;37;0;9;1;0,00042343;;;;215,9152374;0,396540437
2315;651209536;Battle Camp HD - Collect & Evolve Your Monsters;335650816;USD;0;6055;34;4,5;4;4.11;4+;Games;24;5;20;1;0,012660979;;;;655,4601531;1,203789314
2316;651277515;Sabres of Infinity;41937920;USD;2,99;169;57;4,5;4.5;1.5.0;12+;Games;38;5;1;1;0,000400482;;;;235,0785023;0,431734847
2317;651309421;FollowMeter for Instagram - Followers Tracking;11819008;USD;0;11976;172;4,5;4.5;3.6;4+;Social Networking;37;0;1;1;0,025013205;;;;921,7802244;1,692901054
2318;651323845;机票、火车票、汽车票预定助手 for 铁路12306;21944320;USD;0;128;74;5;5;7.3.5;4+;Travel;38;5;2;1;0,000298323;;;;106,6556626;0,195879103
2319;651510680;Trivia Crack;265484288;USD;0;393469;34;4,5;3.5;2.40;4+;Games;37;5;26;1;0,820873322;;;;5283,347478;9,703163811
2320;651978174;Construction Simulator 2014;395522048;USD;0,99;2470;984;4;4;1.04;4+;Games;36;5;18;1;0,005186162;;;;542,6478294;0,996603158
2321;652039347;Princess Salon™ - Girls Makeup, Dressup and Makeover Games;53260288;USD;0;5030;1014;4;4;1.2;4+;Games;43;5;1;1;0,010520567;;;;530,3220247;0,973966127
2322;652077009;Toca Builders;87713792;USD;2,99;5102;114;4,5;4;1.0.5;4+;Education;40;5;18;1;0,01069157;;;;1287,956629;2,365404548
2323;652138155;Ice Fishing Derby Premium;30641152;USD;2,99;47;2;4;4;1.11;4+;Games;40;3;1;1;0,000143883;;;;110,8838296;0,203644369
2324;652945710;100 PICS Quiz - guess the picture trivia games;67786752;USD;0;23160;44;4,5;4.5;2.50;4+;Games;37;5;7;1;0,048344956;;;;1281,834674;2,354161234
2325;653031147;WaterMinder®;94605312;USD;2,99;1875;176;4,5;4.5;3.2;4+;Health & Fitness;37;4;14;1;0,003959492;;;;780,9169898;1,434197827
2326;653146633;2016 U.S. Open Golf Championship for iPad;146871296;USD;0;146;24;2,5;1.5;4.0.127;4+;Sports;24;4;1;1;0,000325443;;;;58,04218095;0,106597719
2327;653298682;Kanvas - Express Yourself;222722048;USD;0;2177;0;4,5;0;6.3;9+;Photo & Video;37;0;30;1;0,004570803;;;;393,0812239;0,721915703
2330;653384976;飞凡--智慧新生活;143166464;USD;0;0;0;0;0;4.18.0;17+;Lifestyle;37;0;1;1;1,04309E-05;;;;1;0,001836556
2331;653453499;Yoga.com: 300 Poses & Video Classes;51133440;USD;3,99;1189;11;4,5;3.5;3.1;4+;Health & Fitness;37;5;6;1;0,002534637;;;;703,3672495;1,291773382
2332;653508448;Monster Legends RPG - War, Fight & Heroes Game;170844160;USD;0;111579;365;4,5;5;5.2.3;9+;Games;38;5;12;1;0,232802222;;;;2813,497544;5,167145956
2333;653967729;Charades!™;44654592;USD;0;18072;129;4,5;4;2.5.1;4+;Games;40;1;1;1;0,037730512;;;;1132,318196;2,07956584
2334;654662054;Procraster - Overcome Procrastination;19279872;USD;1,99;155;71;4;4;1.3.1;4+;Productivity;37;5;2;1;0,000362931;;;;170,5665865;0,313255098
2335;654810212;Freeletics Bodyweight - Workouts and Training;103856128;USD;0;1722;18;4,5;4;4.9;4+;Health & Fitness;37;5;8;1;0,003621595;;;;349,6197843;0,642096333
2337;654898029;Weaphones WW2: Firearms Simulator;62558208;USD;2,99;2122;129;5;4.5;1.5.0;12+;Games;43;5;16;1;0,004476863;;;;926,1880061;1,700996192
2338;655619282;Call of Duty®: Strike Team;1790959616;USD;6,99;9097;2662;4;4.5;1.4.0;17+;Games;39;5;5;1;0,019048776;;;;2236,589081;4,107621223
2339;655749677;Breach & Clear;1015242752;USD;3,99;5513;665;4,5;4.5;2.3.0;17+;Games;39;5;1;1;0,011555246;;;;1514,056363;2,780649385
2340;655890150;Screens - Remote Desktop, VNC, Screen Sharing;43640832;USD;19,99;559;15;4;4.5;4.4.1;4+;Productivity;37;5;11;1;0,001318398;;;;943,872559;1,733474865
2341;655903467;Background Player Pro for Cloud Platforms;51890176;USD;2,99;184;17;4;4.5;3.7;17+;Productivity;40;5;54;1;0,000429689;;;;217,6874852;0,399795269
2342;656163700;Icebreaker: A Viking Voyage;60375040;USD;0,99;726;52;4,5;4.5;1.3.0;9+;Games;43;0;1;1;0,001549963;;;;331,5810934;0,608967265
2343;656176278;Modern Combat 5 : The Multiplayer eSports Shooter;1271361536;USD;0;45270;763;4,5;4;2.5.0;17+;Games;37;5;15;1;0,094470225;;;;1792,104811;3,291300946
2345;656723874;Home - A Unique Horror Adventure;49221632;USD;2,99;348;35;3,5;3.5;1.5.4;12+;Games;43;5;1;1;0,000769735;;;;262,0978439;0,481357383
2346;656773485;BlackOut: Bring the color back in the sky;170045440;USD;2,99;226;96;4;4;1.07;4+;Games;43;5;1;1;0,000517308;;;;241,1351528;0,442858225
2347;656951157;LIMBO;135050240;USD;4,99;15030;319;4,5;4.5;1.1.15;12+;Games;37;5;13;1;0,031415606;;;;2763,961896;5,076170961
2348;656971078;Episode - Choose Your Story;182361088;USD;0;155903;713;4,5;4.5;6.20;12+;Games;38;5;1;1;0,325269721;;;;3325,691733;6,107819295
2349;657189652;Clue Period Tracker: Period & Ovulation Tracker;103040000;USD;0;13436;39;4,5;4.5;3.5.6;12+;Health & Fitness;37;0;15;1;0,028059017;;;;976,3477291;1,793117335
2350;657222343;7 Minute Workout Pro;76668928;USD;0,99;303;40;4,5;5;3.0;4+;Health & Fitness;38;5;26;1;0,000667513;;;;214,4170644;0,393788958
2352;657395017;Forbidden Desert;190652416;USD;6,99;78;30;5;5;1.2;9+;Games;24;5;1;1;0,000237761;;;;261,7600333;0,480736975
2353;657500465;My Talking Tom;255747072;USD;0;123859;1174;4,5;4.5;4.1.2;4+;Games;38;5;13;1;0,258420417;;;;2964,277788;5,444062325
2354;657638474;Lightbot : Programming Puzzles;55465984;USD;2,99;108;9;4,5;4.5;1.6.7;4+;Games;43;5;1;1;0,000273226;;;;188,2355743;0,345705184
2355;657675944;ようとん場;40534016;USD;0;9;0;4,5;0;1.51;12+;Games;40;0;1;1;4,7982E-05;;;;26,63504052;0,048916745
2356;657811530;Rayman Fiesta Run;146302976;USD;2,99;5078;761;4,5;4.5;1.5.3;4+;Games;38;5;13;1;0,010641502;;;;1284,924355;2,359835606
2357;658257516;The Open;110575616;USD;0;142;0;2,5;0;1.4.9;4+;Sports;37;4;1;1;0,000317098;;;;57,24704502;0,105137407
2358;658293394;Can You Escape;64293888;USD;0;218024;1734;4,5;4.5;2.0;4+;Games;40;5;16;1;0,454864829;;;;3932,842093;7,222884967
2359;658426204;Mickey Mouse Clubhouse - Color & Play;313371648;USD;2,99;452;40;4;4;2.3;4+;Entertainment;38;5;3;1;0,000988783;;;;340,6408275;0,625605975
2361;658785238;ガールズちゃんねる - 女子のニュースとガールズトーク;61737984;USD;0;0;0;0;0;2.4.6;17+;News;37;0;2;1;1,04309E-05;;;;1;0,001836556
2362;658828559;Mancala Pro;56049664;USD;1,99;289;46;4,5;4;2.0;4+;Games;43;2;1;1;0,000644565;;;;261,9820369;0,481144697
2363;659283309;Trials Frontier;253294592;USD;0;29090;23;4,5;4;5.1.1;12+;Games;37;5;11;1;0,060715958;;;;1436,589497;2,638377142
2364;659353189;IntroMate - Intro Maker for iMovie;189254656;USD;2,99;386;28;4,5;4;2.5;4+;Photo & Video;37;5;12;1;0,000853182;;;;354,6859105;0,651400557
2365;659425518;Real Steel World Robot Boxing;935366656;USD;0;41277;220;4,5;4.5;31.31.840;9+;Games;38;5;10;1;0,086140139;;;;1711,246943;3,142800937
2366;659448144;Sago Mini Pet Cafe;79953920;USD;2,99;477;6;4,5;3.5;1.4;4+;Education;38;5;16;1;0,001043024;;;;394,1870956;0,723946698
2367;659563061;Cartwheel by Target;49570816;USD;0;14682;0;3,5;0;2.5.2;4+;Shopping;37;3;1;1;0,030654215;;;;794,1874897;1,458569844
2368;659672658;Morning — Weather, To-Do, News, and more;15432704;USD;0,99;294;6;3,5;3;1.6.6;12+;Productivity;38;5;30;1;0,000644565;;;;164,3598901;0,301856152
2369;660617252;動画英文法2700;42519552;USD;9,99;0;0;0;0;2.1.2;4+;Education;37;5;1;1;7,29534E-05;;;;3,737220572;0,006863615
2370;660653351;腾讯新闻HD-最资深的阅读软件;33111040;USD;0;77;5;3,5;2;1.8.0;17+;News;24;4;2;1;0,000185669;;;;57,88458761;0,10630829
2371;660687537;SAMURAI SHODOWN II;69730304;USD;2,99;195;79;3,5;3.5;1.1.2;12+;Games;43;5;2;1;0,000450551;;;;196,416863;0,360730579
2372;660842333;Santa Call & Tracker Free - North Pole Command;200338432;USD;0;1458;914;4,5;4.5;6.1.3;4+;Entertainment;37;5;1;1;0,003070846;;;;321,7221837;0,590860825
2373;660982355;EPOCH.2;802537472;USD;0,99;3525;970;4,5;4.5;1.3.1;9+;Games;40;5;13;1;0,00738916;;;;730,2367876;1,341120795
2374;661149814;Ab in den Urlaub – Pauschalreisen günstig buchen;74008576;USD;0;22;0;5;0;4.2.5;4+;Travel;37;5;31;1;7,71884E-05;;;;45,03529179;0,082709838
2375;662001778;Stylish School Timetable;45628416;USD;0;7;0;4;0;2.0.3;4+;Education;37;0;2;1;4,17234E-05;;;;21,14742527;0,038838432
2376;662090840;My Talking Pet;51005440;USD;1,99;9035;72;4,5;5;2.4;4+;Entertainment;37;4;11;1;0,018890227;;;;1462,381305;2,685745244
2377;662569685;Riptide GP2;59541504;USD;1,99;3311;380;4,5;4.5;1.3.1;4+;Games;40;5;1;1;0,006948977;;;;885,3554795;1,626004968
2378;662611545;Lotto Out! - Mexican Loteria;72475648;USD;0,99;26;6;3,5;3.5;2.3;12+;Games;40;5;2;1;8,54705E-05;;;;49,7240754;0,091321052
2379;662749248;. Calculator .;59232256;USD;0;1525;352;4,5;5;3.15;4+;Utilities;37;5;31;1;0,003210619;;;;329,0263113;0,604275265
2380;663068211;SimpleRockets;25284608;USD;2,99;1436;155;4,5;4.5;1.6.10;4+;Games;43;5;1;1;0,003043663;;;;683,46588;1,255223402
2381;663547503;rymdkapsel;78278656;USD;3,99;1622;236;4,5;4.5;3.0.2;9+;Games;38;3;1;1;0,003437949;;;;821,4250103;1,508593078
2382;663820495;Tomb Raider I;341276672;USD;0,99;702;38;4;4;1.0.4;12+;Games;38;5;11;1;0,001497809;;;;289,4405401;0,531573777
2383;663965632;Teen Titans Go Arcade;25169920;USD;0;897;553;3,5;3.5;1.1;12+;Games;43;5;16;1;0,001896331;;;;196,4055747;0,360709848
2384;664425773;Canon PRINT Inkjet/SELPHY;25640960;USD;0;689;102;2,5;2.5;2.3.4;4+;Photo & Video;38;5;20;1;0,001458234;;;;125,7504653;0,230947779
2385;664457128;Math 42;45851648;USD;0;248;2;4;4.5;3.2.1;4+;Education;37;5;6;1;0,000544491;;;;117,9810288;0,216678773
2386;664575829;Fishdom;181924864;USD;0;39217;1947;4,5;4.5;2.1.0;4+;Games;38;5;12;1;0,081842624;;;;1668,000141;3,063375761
2387;664783704;LEGO® The Lord of the Rings™;1497927680;USD;4,99;2054;2054;4,5;4.5;1.0;9+;Games;40;5;1;1;0,004345434;;;;1021,983837;1,876930606
2388;664939913;Tile - Find & track your lost phone, wallet, keys;78533632;USD;0;5684;33;4;5;2.12.1;4+;Lifestyle;37;5;5;1;0,011884923;;;;563,7385576;1,035337462
2389;665001825;Hunter Island: Monsters & Dragons;91312128;USD;0,99;5305;632;4,5;4.5;2.02;9+;Games;40;5;6;1;0,011102546;;;;895,7899314;1,645168424
2390;665678340;12 Minute Athlete HIIT Workouts;24664064;USD;2,99;362;1;4,5;5;4.6;4+;Health & Fitness;37;0;1;1;0,000803114;;;;343,5118845;0,630878832
2391;665795633;Fluege.de - Finde den billigsten Flug;185886720;USD;0;0;0;0;0;2.6;4+;Travel;37;3;1;1;1,04309E-05;;;;1;0,001836556
2392;665873523;Retale - Coupons, Weekly Ads & Stores Nearby;113300480;USD;0;4861;19;4,5;4.5;7.8.0;4+;Shopping;37;5;1;1;0,01017009;;;;587,3011336;1,078611454
2393;666202151;movieStudio-Video Editor&Slideshow Maker(pro);99328000;USD;2,99;1033;54;4,5;4.5;5.7;4+;Utilities;40;1;12;1;0,002202935;;;;579,7606349;1,064762905
2396;666508823;Battleheart Legacy;889060352;USD;4,99;3376;336;4,5;4.5;1.3.1;12+;Games;43;5;1;1;0,007103354;;;;1310,09758;2,406067646
2397;666575946;RealTimes: Video Maker;187350016;USD;0;1274;0;4,5;0;4.10.004;4+;Photo & Video;37;4;10;1;0,00268699;;;;300,7519516;0,552347818
2398;667362389;The Room Two;460077056;USD;1,99;36809;2858;5;5;1.0.4;9+;Games;39;4;1;1;0,076833662;;;;3290,721474;6,043594455
2399;667579844;Move to measure - Flying Ruler;51470336;USD;1,99;1702;127;4;4;3.0;4+;Utilities;38;5;9;1;0,00359024;;;;563,5584721;1,035006725
2400;667728512;Game of War - Fire Age;220386304;USD;0;107916;507;4;3;3.22.510;9+;Games;37;5;29;1;0,225158487;;;;2456,164428;4,510883657
2401;667819594;Rhonna Designs;177529856;USD;1,99;2971;1;4,5;5;2.21;4+;Photo & Video;38;5;24;1;0,006239679;;;;838,6812195;1,540285073
2403;668159524;Ninja Kid Run VR: Runner & Racing Games For Free;165612544;USD;0;15399;613;4,5;4.5;1.2.13;4+;Games;40;5;1;1;0,032154173;;;;1045,234467;1,919631691
2404;668354926;Air Video HD - Now with multitasking and PiP support!;14665728;USD;5,99;3610;724;4,5;4.5;2.2.1;4+;Photo & Video;38;5;1;1;0,007597777;;;;1474,787856;2,708530569
2405;668515245;"健康献立レシピ提案 オーガニック “Ohganic""";29184000;USD;0;1;1;4;4;3.8.1;4+;Food & Drink;38;0;1;1;2,92064E-05;;;;10,57371263;0,019419216
2406;668533031;洋码头—正品保证海外买手带你全球购洋货;128899072;USD;0;41;0;4,5;0;3.6.1;4+;Shopping;37;0;1;1;0,000114739;;;;54,58558978;0,100249496
2407;668576857;Mister Maker: Let’s Make It! – Design, Draw, Paint, Make and Play;181036032;USD;2,99;9;0;4,5;0;6.0;4+;Entertainment;40;5;1;1;6,66949E-05;;;;57,01491149;0,104711081
2408;668598022;My Little Pony - A Canterlot Wedding;298639360;USD;2,99;273;55;3,5;3.5;1.6.2;4+;Book;39;5;20;1;0,000613272;;;;232,2341143;0,426510969
2409;669196929;djay 2;119949312;USD;4,99;4511;111;4,5;4.5;2.8.5;4+;Music;24;5;7;1;0,00947116;;;;1514,337439;2,781165597
2410;669198374;djay 2 for iPhone;76720128;USD;1,99;3431;93;4,5;4;2.8.5;4+;Music;37;0;7;1;0,007199318;;;;901,2518206;1,65519949
2411;669287954;School Lunch Food!;87296000;USD;0;488;5;3,5;4;2.0;12+;Games;38;5;1;1;0,001043086;;;;144,9339311;0,266179289
2415;669835030;WinZip Full Version - The leading zip unzip and cloud file management tool;22989824;USD;4,99;150;21;3;3.5;4.7.1;4+;Utilities;38;5;2;1;0,000367104;;;;186,057943;0,341705842
2417;670109767;Rebuild 3: Gangs of Deadsville;105250816;USD;4,99;238;12;4,5;4.5;1.6.16;12+;Games;38;5;1;1;0,000556945;;;;348,5275109;0,640090311
2418;670133026;Clip Video Download Pro.;31154176;USD;6,99;530;526;4;4;1.4;17+;Photo & Video;43;5;28;1;0,001176539;;;;540,3317588;0,992349564
2420;670910957;VVebo - 微博客户端;17336320;USD;0,99;259;8;4,5;5;2.0.9;4+;Social Networking;38;5;2;1;0,000575721;;;;198,2938422;0,364177757
2421;671123035;Burger Shop;25294848;USD;0,99;299;18;5;5;1.2;4+;Games;40;0;12;1;0,000661254;;;;237,4755392;0,43613714
2422;671464704;Vainglory;1182578688;USD;0;23779;128;4,5;4;2.5.0;9+;Games;38;5;32;1;0,049636297;;;;1298,850862;2,385412418
2423;671867510;Tayasui Sketches Pro;198499328;USD;4,99;1761;13;4,5;5;16.2;4+;Productivity;37;5;15;1;0,003734186;;;;946,3266403;1,737981923
2424;671889349;Jishokun-Japanese English Dictionary & Translator;225522688;USD;0;0;0;0;0;2.10.14;12+;Reference;37;4;2;1;1,04309E-05;;;;1;0,001836556
2425;672002602;Blackbar;3671040;USD;2,99;409;46;4;3.5;1.1.3;9+;Games;37;3;2;1;0,000899078;;;;324,0705203;0,595173677
2426;672150402;Boom Beach;153955328;USD;0;241929;2013;4,5;4.5;30.125;9+;Games;38;5;4;1;0,504734777;;;;4142,840608;7,608559012
2427;672151350;LOCARI(ロカリ)-オトナ女子向けライフスタイル情報アプリ;33232896;USD;0;0;0;0;0;4.3.7;17+;Lifestyle;37;0;19;1;1,04309E-05;;;;1;0,001836556
2428;672175251;Caveman Feast - 250 Paleo Recipes;97841152;USD;2,99;1501;60;5;4.5;3.1;12+;Food & Drink;37;5;1;1;0,00318135;;;;779,0388605;1,430748538
2429;672828590;WGT Golf Game by Topgolf;250150912;USD;0;53285;623;4,5;4.5;1.31.2;17+;Games;40;5;1;1;0,111190896;;;;1944,284984;3,570788364
2430;673041243;心霊たんち機 Plus;1978368;USD;0;0;0;0;0;1.1.0;9+;Entertainment;40;0;2;1;1,04309E-05;;;;1;0,001836556
2431;673120263;Step Out Of Bed! Smart alarm clock to get awake early with a tricky and awakening steps counter - Best alarm app to wake up on time with alarmy music ringtone;35266560;USD;1,99;6696;5031;4;4;1.2.2;4+;Lifestyle;40;0;10;1;0,014008584;;;;1117,562469;2,052466121
2433;673354210;High 5 Casino - Real Vegas Slots!;167804928;USD;0;9930;53;4;4;3.6.2;12+;Games;38;5;1;1;0,020742811;;;;745,0904489;1,368400377
2435;673612506;Alice Trapped in Wonderland;363242496;USD;0,99;317;12;4,5;4;1.3;4+;Games;37;5;4;1;0,000696719;;;;219,2987286;0,402754408
2436;673672983;Fragment's Note2 Side:雫;896147456;USD;2,99;0;0;0;0;1.05;4+;Games;43;4;1;1;2,91438E-05;;;;2,140597888;0,003931328
